model,id,title,authors,
book.book,1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPr,
book.book,2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPr,
book.book,3,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,
book.book,4,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPr,
book.book,5,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPr,
book.book,6,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,
book.book,7,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,
book.book,8,The Ultimate Hitchhikers Guide: Five Complete Novels and One Story (Hitchhikers Guide to the Galaxy  #1-5),Douglas Adams,
book.book,9,The Ultimate Hitchhikers Guide to the Galaxy (Hitchhikers Guide to the Galaxy  #1-5),Douglas Adams,
book.book,10,The Hitchhikers Guide to the Galaxy (Hitchhikers Guide to the Galaxy  #1),Douglas Adams,
book.book,11,The Hitchhikers Guide to the Galaxy (Hitchhikers Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,
book.book,12,The Ultimate Hitchhikers Guide (Hitchhikers Guide to the Galaxy  #1-5),Douglas Adams,
book.book,13,A Short History of Nearly Everything,Bill Bryson,
book.book,14,Bill Brysons African Diary,Bill Bryson,
book.book,15,Brysons Dictionary of Troublesome Words: A Writers Guide to Getting It Right,Bill Bryson,
book.book,16,In a Sunburned Country,Bill Bryson,
book.book,17,Im a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,
book.book,18,The Lost Continent: Travels in Small Town America,Bill Bryson,
book.book,19,Neither Here nor There: Travels in Europe,Bill Bryson,
book.book,20,Notes from a Small Island,Bill Bryson,
book.book,21,The Mother Tongue: English and How It Got That Way,Bill Bryson,
book.book,22,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,
book.book,23,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,
book.book,24,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,
book.book,25,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,
book.book,26,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,
book.book,27,The Lord of the Rings: Complete Visual Companion,Jude Fisher,
book.book,28,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,
book.book,29,Hatchet (Brians Saga  #1),Gary Paulsen,
book.book,30,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,
book.book,31,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,
book.book,32,Molly Hatchet - 5 of the Best,Molly Hatchet,
book.book,33,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,
book.book,34,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,
book.book,35,Changeling (Changeling  #1),Delia Sherman,
book.book,36,The Changeling Sea,Patricia A. McKillip,
book.book,37,The Changeling,Zilpha Keatley Snyder,
book.book,38,The Changeling,Kate Horsley,
book.book,39,The Changeling (Daughters of England  #15),Philippa Carr,
book.book,40,The Known World,Edward P. Jones,
book.book,41,The Known World,Edward P. Jones/Kevin R. Free,
book.book,42,The Known World,Edward P. Jones,
book.book,43,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,
book.book,44,Artesia: Adventures in the Known World,Mark Smylie,
book.book,45,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,
book.book,46,Uncommon Carriers,John McPhee,
book.book,47,Heirs of General Practice,John McPhee,
book.book,48,The Control of Nature,John McPhee,
book.book,49,Annals of the Former World,John McPhee,
book.book,50,Coming Into the Country,John McPhee,
book.book,51,La Place de la Concorde Suisse,John McPhee,
book.book,52,Giving Good Weight,John McPhee,
book.book,53,Rising from the Plains,John McPhee,
book.book,54,The Heidi Chronicles,Wendy Wasserstein,
book.book,55,The Heidi Chronicles: Uncommon Women and Others & Isnt It Romantic,Wendy Wasserstein,
book.book,56,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,
book.book,57,Simply Beautiful Beaded Jewelry,Heidi Boyd,
book.book,58,Always Enough: Gods Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,
book.book,59,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,
book.book,60,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,
book.book,61,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,
book.book,62,Theres Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,
book.book,63,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,
book.book,64,The Players Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,
book.book,65,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,
book.book,66,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,
book.book,67,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,
book.book,68,Dune Messiah (Dune Chronicles #2),Frank Herbert,
book.book,69,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,
book.book,70,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,
book.book,71,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,
book.book,72,Heretics of Dune (Dune Chronicles #5),Frank Herbert,
book.book,73,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,
book.book,74,The Power of One (The Power of One  #1),Bryce Courtenay,
book.book,75,The Power of One (The Power of One  #1),Bryce Courtenay,
book.book,76,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,
book.book,77,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,
book.book,78,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,
book.book,79,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,
book.book,80,eBay for Dummies,Marsha Collier,
book.book,81,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,
book.book,82,Starting an eBay Business for Dummies,Marsha Collier,
book.book,83,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,
book.book,84,ebay Timesaving Techniques for Dummies,Marsha Collier,
book.book,85,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,
book.book,86,Ruby Cookbook,Lucas Carlson/Leonard Richardson,
book.book,87,Ruby Anns Down Home Trailer Park Cookbook,Ruby Ann Boxcar,
book.book,88,Ruby Anns Down Home Trailer Park BBQin Cookbook,Ruby Ann Boxcar,
book.book,89,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,
book.book,90,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,
book.book,91,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,
book.book,92,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,
book.book,93,CliffsNotes on Tolstoys Anna Karenina,Marianne Sturman/Leo Tolstoy,
book.book,94,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,
book.book,95,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,
book.book,96,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,
book.book,97,Dinner with Anna Karenina,Gloria Goldreich,
book.book,98,Tolstoy: Anna Karenina,Anthony Thorlby,
book.book,99,Untouchable,Mulk Raj Anand/E.M. Forster,
book.book,100,The Untouchable,John Banville,
book.book,101,The Untouchables,Eliot Ness/Oscar Fraley,
book.book,102,Untouchables: My Familys Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,
book.book,103,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,
book.book,104,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,
book.book,105,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,
book.book,106,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,
book.book,107,Wrinkles in Time,George Smoot/Keay Davidson,
book.book,108,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine LEngle,
book.book,109,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,
book.book,110,Una arruga en el tiempo a A Wrinkle in Time,Madeleine LEngle,
book.book,111,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,
book.book,112,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,
book.book,113,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,
book.book,114,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,
book.book,115,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,
book.book,116,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,
book.book,117,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,
book.book,118,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,
book.book,119,I am Charlotte Simmons,Tom Wolfe,
book.book,120,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,
book.book,121,The Puffin Book of Nonsense Verse,Quentin Blake,
book.book,122,Henry Miller on Writing,Henry Miller/Thomas H. Moore,
book.book,123,Quiet Days in Clichy,Henry Miller,
book.book,124,Tropic of Cancer,Henry Miller,
book.book,125,Tropic of Capricorn,Henry Miller,
book.book,126,Nexus (The Rosy Crucifixion  #3),Henry Miller,
book.book,127,Sexus (The Rosy Crucifixion  #1),Henry Miller,
book.book,128,The Air-Conditioned Nightmare,Henry Miller,
book.book,129,The Portrait of a Lady,Henry James/Patricia Crick,
book.book,130,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,
book.book,131,Writing,Marguerite Duras,
book.book,132,The War,Marguerite Duras/Barbara Bray,
book.book,133,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,
book.book,134,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,
book.book,135,Kahlil Gibran: His Life and World,Kahlil Gibran,
book.book,136,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,
book.book,137,Jesus the Son of Man,Kahlil Gibran,
book.book,138,The Broken Wings,Kahlil Gibran,
book.book,139,Sand and Foam,Kahlil Gibran,
book.book,140,Treasure Island,Robert Louis Stevenson,
book.book,141,Treasure Island,Robert Louis Stevenson/Scott McKowen,
book.book,142,Treasure Island,Robert Louis Stevenson,
book.book,143,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,
book.book,144,Treasure Island,Robert Louis Stevenson/Milo Winter,
